|  Clínicas  |  Geriátricos  |  CATEGORÍA| Subcategoria| subtitulo| DATO A INSPECCIONAR| Tipo de dato
|  TRUE  |  FALSE  |  SALA DE PARTO| SERVICIOS| | Monitor fetal portátil| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| ARQUITECTURA| | N° DE CAMAS| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| ARQUITECTURA| | Coincide con edificacion| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| ARQUITECTURA| | Planos| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | Planillas de enfermería con controles diarios| N° DE CAMAS| NÚMERO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | Planillas de enfermería con controles diarios| Coincide con edificacion| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | Planillas de enfermería con controles diarios| Planos| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | Planillas de enfermería con controles diarios| Signos vitales| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Balance diario| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Volúmenes de ingresos y egresos| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Medicación| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Unidad ubicada en zona de circulación semirrestringida| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Sala de internación c/pileta lavamanos| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Office de enfermería| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Monitores| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Local de ropa y material usado| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Area lavachatas| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Depósito de camillas y aparatología| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Sala de médicos| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Posee otras Unidades de UCI / UCO| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Comparte algún local UCI / UCO| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Grupo electrógeno| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Sistema de Iluminación de Emergencia| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Acceso directo y exclusivo| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Fácil comunicación c/cirugía| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Camas ortopédicas o articuladas| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Doble comando| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Rodantes| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Ventanas al exterior| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Visión panorámica directa a todas las camas| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Local de Instrumental y material estéril| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Local cerrado c/1 cama para aislamiento| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Evoluciones diarias en Historia Clínica| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Libro de Registro de Enfermedades Transmisibles| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Libro de Registro de psicofármacos| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Vestuario para visitas c/pileta lavamanos| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Habitación, c/baño propio para médico de Guardia| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Doble circuito de energía eléctrica| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Diez tomas de electricidad por cama| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Hermeticidad| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Privacidad| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Superficie total sala internación| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de la unidad| Iluminación natural| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de the unidad| Iluminación artificial central| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de the unidad| Iluminación Individual| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| | De los Edificios/Locales de the unidad| Acceso desde 4 posiciones| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| EQUIPAMIENTO| | Marcapaso transitorio (si no tiene UCO)| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| EQUIPAMIENTO| | Carro de urgencia| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| EQUIPAMIENTO| | Tensiómetro| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| EQUIPAMIENTO| | Nebulizador| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| EQUIPAMIENTO| | system portatil de aspiración para drenaje| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| EQUIPAMIENTO| | Respirador mecánico volumétrico| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| EQUIPAMIENTO| | Equipo de desfibrilación y sincronizador| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| EQUIPAMIENTO| | Bomba de infusión| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| EQUIPAMIENTO| | Oxímetro de pulso portátil| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| EQUIPAMIENTO| | Electrocardiógrafo| SI/NO
|  TRUE  |  FALSE  |  UNIDADES DE TERAPIA INTENSIVA| EQUIPAMIENTO| | Equipo de aspiración| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| ARQUITECTURA| | N° DE CAMAS| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| ARQUITECTURA| | Coincide con edificacion| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| ARQUITECTURA| | Planos| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | Planillas de enfermería con controles diarios| Signos vitales| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | Planillas de enfermería con controles diarios| Balance diario| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | Planillas de enfermería con controles diarios| Volúmenes de ingresos y egresos| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | Planillas de enfermería con controles diarios| Medicación| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Unidad ubicada en zona de circulación semirrestringida| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Sala de internación c/pileta lavamanos| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Office de enfermería| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Monitores| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Local de ropa y material usado| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Area lavachatas| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Depósito de camillas y aparatología| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Sala de médicos| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Grupo electrógeno| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Acceso directo y exclusivo| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Fácil comunicación c/cirugía| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Privacidad| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Camas ortopédicas o articuladas| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Doble comando| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Rodantes| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Plano apoyo rígido| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Acceso desde 4 posiciones| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Visión panorámica directa a todas las camas| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Local de Instrumental y material estéril| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Local cerrado c/1 cama para aislamiento| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Evoluciones diarias en Historia Clínica| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Vestuario para visitas c/pileta lavamanos| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Habitación, c/baño propio para médico de Guardia| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Comparte algún local UCI / UCO| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Posee otras Unidades de UCI / UCO| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Diez tomas de electricidad por cama| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Sistema de Iluminación de Emergencia| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Hermeticidad| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Superficie total sala internación| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Iluminación natural| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Iluminación artificial central| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Iluminación Individual| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| | De los Edificios/Locales de la unidad| Ventanas al exterior De paño fijo:| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Equipo de aspiración| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Respirador mecánico volumétrico| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Equipo de desfibrilación y sincronizador| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Bomba de infusión| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Carro de urgencias (uno)| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Laringoscopios| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Máscara| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Resucitador tipo AMBU| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Tensiometro| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Nebulizador| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Elementos para intubación endotraqueal| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | system portátil de aspiración o/drenaje| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Equipos para cateterización nasogástrica| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Equipos para puncion raquidea| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Equipo para punción abdominal| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Carro de paro| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Oxímetro de pulso portátil| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Electrocardiógrafo| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Marcapaso transitorio con 2 catéteres| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Equipo portatil de Rx.100 Ma/100 Kv| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Elementos para traqueotomía| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Bolsa| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Adaptador| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Carro de curación| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Instrumental de examen| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Iluminación individual| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | system de aspiración torácica| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Equipos para cateterización vesical| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Equipos para cateterización venosa| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Equipo para punción torácica| SI/NO
|  TRUE  |  FALSE  |  UNIDAD CORONARIA| EQUIPAMIENTO| | Botiquín con/medicamentos para urgencias de 24 hs| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| ARQUITECTURA| | N° DE CAMAS| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| ARQUITECTURA| | Coincide con edificacion| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| ARQUITECTURA| | Planos| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| JEFE DE SERVICIO| | Jefe de servicio| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| RECURSOS HUMANOS| | Médico asistente| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| RECURSOS HUMANOS| | Kinesiólogo| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| RECURSOS HUMANOS| | Médico de guardia activa| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| RECURSOS HUMANOS| | Enfermero| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| EQUIPAMIENTO| | Nebulizador| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| EQUIPAMIENTO| | Cámara cefálica de Gregory| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| EQUIPAMIENTO| | Equipo de desfibrilación y sincronizador| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| EQUIPAMIENTO| | Oxímetro de pulso portátil| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| EQUIPAMIENTO| | Equipo de aspiración| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| EQUIPAMIENTO| | Respirador mecánico volumétrico| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| EQUIPAMIENTO| | Bomba de infusión continua| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA PEDIATRICA| EQUIPAMIENTO| | Electrocardiógrafo| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| ARQUITECTURA| | N° DE CAMAS| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| ARQUITECTURA| | Coincide con edificacion| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| ARQUITECTURA| | Planos| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | Planillas de enfermería con controles diarios| Signos vitales| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | Planillas de enfermería con controles diarios| Balance diario| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | Planillas de enfermería con controles diarios| Volúmenes de ingresos y egresos| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | Planillas de enfermería con controles diarios| Medicación| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Unidad ubicada en zona de circulación semirrestringida| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Sala de internación c/pileta lavamanos| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Office de enfermería con monitores| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Area de deposito ropa limpia| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Local de ropa y material usado| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Pileta para material| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Depósito para incubadora/cuna/aparatos| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Sala de médicos| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Camillas accionadas: a codo:| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Camilla a pie| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| A electricidad| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Local de formulas lacteas| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Extrator de aire con filtro| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Ventilacion| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Acceso directo y exclusivo| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Privacidad| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Incubadoras| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Fuente de oxigeno| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Aire comprimido| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Aspiracion| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Unidades de aisalmiento| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| De paño fijo| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Iluminacion individual difusas| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Visión panorámica directa a todas las camas| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Local de Instrumental y material estéril| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Local cerrado c/2 unidades para aislamiento| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Lavabo propio| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Vestuario para visitas c/pileta lavamanos| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Dispensador de jabon liquido| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Sanitorios para el personal| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Habitación, c/baño propio para médico de Guardia| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Con dispensador liquido| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Toalla de papel| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Armario con llave| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Ocho tomas de electricidad por cama con tablero independiente| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Sistema calefaccion refrigeracion| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Fácil comunicación c/cirugía| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Superficie total sala internación| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Consola de monitoreo| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Repisa individual| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Cunas| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Fuente de oxigeno| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Consola para monitoreo| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Ventanas al exterior| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Iluminacion natural| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | De los Edificios/Locales de la unidad| Iluminacion artificial central| SI/NO
|  TRUE  |  FALSE  |  UNIDAD DE TERAPIA INTENSIVA NEONATAL| | Del Equipamiento / Equipamiento en internación cada 8(ocho) unidades:| Incubadoras a servocontrol de circuito cerrado 6(seis)| SI/NO
